CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diarrhoea and Dysentery, 1901, 5
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Poliomyelitis (acute), 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Poliomyelitis (acute), 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Poliomyelitis (acute), 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Poliomyelitis (acute), 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diphtheria (and Croup), 1901, 7
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diphtheria (and Croup), 1902, 6
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diphtheria (and Croup), 1903, 2
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diphtheria (and Croup), 1904, 2
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Typhoid (enteric) Fever, 1901, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Typhoid (enteric) Fever, 1902, 2
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Typhoid (enteric) Fever, 1903, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Typhoid (enteric) Fever, 1904, 1
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), VD, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), VD, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), VD, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), VD, 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Smallpox, 1901, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Smallpox, 1902, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Smallpox, 1903, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Smallpox, 1904, 1
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Encephalitis Lethargica, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Encephalitis Lethargica, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Encephalitis Lethargica, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Encephalitis Lethargica, 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Other Infectious & parasitic diseases, 1901, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Other Infectious & parasitic diseases, 1902, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Other Infectious & parasitic diseases, 1903, 2
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Other Infectious & parasitic diseases, 1904, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cancer, 1901, 8
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cancer, 1902, 11
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cancer, 1903, 8
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cancer, 1904, 14
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diabetes, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diabetes, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diabetes, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Diabetes, 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cerebro-Spinal Meningitis, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cerebro-Spinal Meningitis, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cerebro-Spinal Meningitis, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cerebro-Spinal Meningitis, 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Heart Disease, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Heart Disease, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Heart Disease, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Heart Disease, 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Vascular lesions of nervous system, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Vascular lesions of nervous system, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Vascular lesions of nervous system, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Vascular lesions of nervous system, 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Pneumonia, 1901, 8
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Pneumonia, 1902, 13
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Pneumonia, 1903, 19
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Pneumonia, 1904, 12
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Influenza, 1901, 2
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Influenza, 1902, 1
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Influenza, 1903, 1
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Influenza, 1904, 3
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Bronchitis, 1901, 19
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Bronchitis, 1902, 18
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Bronchitis, 1903, 14
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Bronchitis, 1904, 14
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Ulcer of stomach and Duodenum, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Ulcer of stomach and Duodenum, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Ulcer of stomach and Duodenum, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Ulcer of stomach and Duodenum, 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cirrhosis of the Liver, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cirrhosis of the Liver, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cirrhosis of the Liver, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Cirrhosis of the Liver, 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Nephritis and Bright's Disease, 1901, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Nephritis and Bright's Disease, 1902, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Nephritis and Bright's Disease, 1903, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Nephritis and Bright's Disease, 1904, n/g
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Childbirth and Puerperal Septic Diseases, 1901, 0
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Childbirth and Puerperal Septic Diseases, 1902, 1
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Childbirth and Puerperal Septic Diseases, 1903, 1
CAUSE OF DEATH  IN BARTON REGIS UNION AND REGISTRATION DISTRICT (1901 – 1904), Childbirth and Puerperal Septic Diseases, 1904, 2
