Table 9 [10]:
"TABLE 9"
"CAUSE OF DEATH  IN LONG ASHTON UNION AND REGISTRATION DISTRICT (1901 – 1920)"

,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Diarrhoea and Dysentery",3,4,1,5,1,8,4,3,4,2,13,6,2,4,1,3,1,3,3,2,"Diarrhoea and Dysentery"
"Vascular lesions of nervous system","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Vascular lesions of nervous system"
"Pneumonia",17,16,20,19,23,23,23,23,18,14,11,12,14,13,17,12,13,24,19,15,"Pneumonia"
"Influenza",3,8,2,1,0,7,9,4,2,3,0,5,4,2,8,5,12,61,27,11,"Influenza"
"Bronchitis",17,28,8,22,24,13,20,9,24,15,15,22,24,21,29,25,26,15,30,21,"Bronchitis"
"Ulcer of stomach and Duodenum","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Ulcer of stomach and Duodenum"
"Cirrhosis of the Liver","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",0,0,2,6,6,4,1,2,0,2,"Cirrhosis of the Liver"
"Nephritis and Bright's Disease","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",15,16,15,15,14,8,11,12,6,13,"Nephritis and Bright's Disease"
"Childbirth and Puerperal Septic Diseases",6,1,6,1,2,0,4,5,3,1,2,0,2,1,0,3,2,6,0,1,"Childbirth and Puerperal Septic Diseases"
"Congenital Debility","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",14,17,10,13,13,15,8,11,11,7,"Congenital Debility"
,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Notes",,,,,,,,,,,,,,,,,,,,,

"From 1911 Long Ashton Poor Law Union comprised the registration districts of Long Ashton Rural District; Clevedon Urban "
"District; and Portishead Urban District. After 1920 data were only given for registration districts with a population over 10,000, "
"and thus Portishead and Clevedon were no longer included. Only the data for Long Ashton district within the union were still "
"recorded."
