Table 1 [2]:
"TABLE 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAUSE OF DEATH IN BRISTOL MUNICIPAL DISTRICT (1870 – 1900)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Childbirth","n/g","n/g","n/g","n/g","n/g","n/g",30,25,18,18,20,29,22,30,27,27,20,30,34,18,34,30,50,35,30,24,29,19,23,44,46,"Childbirth"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Notes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notes"
"The category for cholera included deaths from choleraic diarrhoea.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The category for cholera included deaths from choleraic diarrhoea."
"The category for encephalitis included all deaths from inflammation of the brain and its membranes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The category for encephalitis included all deaths from inflammation of the brain and its membranes."
"The category for diabetes included glycosuria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The category for diabetes included glycosuria."
"The category for cerebral haemorrhage included apoplexy, softening of brain, hemiplegia and brain paralysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The category for cerebral haemorrhage included apoplexy, softening of brain, hemiplegia and brain paralysis."
"The childbirth category included all deaths from puerperal septic diseases and other non-infectious diseases of the puerperium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The childbirth category included all deaths from puerperal septic diseases and other non-infectious diseases of the puerperium."
